,w,k,init_alpha,alpha,iters,final_dtv
0,3.0,10.0,0.1,no,100.0,0.6117606091306622
1,3.0,10.0,0.25,no,100.0,0.4652891582908812
2,3.0,10.0,0.5,no,100.0,0.34269795464009634
3,3.0,10.0,0.75,no,100.0,
4,3.0,10.0,0.9,no,100.0,0.3158357899986475
5,3.0,100.0,0.1,no,100.0,0.4152425884735044
6,3.0,100.0,0.25,no,100.0,0.37809497706152373
7,3.0,100.0,0.5,no,100.0,0.062030198320221004
8,3.0,100.0,0.75,no,100.0,0.13938350290566864
9,3.0,100.0,0.9,no,100.0,0.09964975158762983
10,3.0,1000.0,0.1,no,100.0,0.12179071895879198
11,3.0,1000.0,0.25,no,100.0,0.06627430087524906
12,3.0,1000.0,0.5,no,100.0,0.02714028403741502
13,3.0,1000.0,0.75,no,100.0,0.04428425949417233
14,3.0,1000.0,0.9,no,100.0,0.049056950006726975
15,4.0,10.0,0.1,no,100.0,0.6616627183146884
16,4.0,10.0,0.25,no,100.0,0.6086376067027697
17,4.0,10.0,0.5,no,100.0,0.4739036646253297
18,4.0,10.0,0.75,no,100.0,0.2765375805641999
19,4.0,10.0,0.9,no,100.0,0.31762689446558606
20,4.0,100.0,0.1,no,100.0,0.5044782223624772
21,4.0,100.0,0.25,no,100.0,0.2037097989404955
22,4.0,100.0,0.5,no,100.0,0.11646745880220082
23,4.0,100.0,0.75,no,100.0,0.11051049203921488
24,4.0,100.0,0.9,no,100.0,0.13621039313338015
25,4.0,1000.0,0.1,no,100.0,0.11760148382501315
26,4.0,1000.0,0.25,no,100.0,0.062156314670009316
27,4.0,1000.0,0.5,no,100.0,0.030556746256901912
28,4.0,1000.0,0.75,no,100.0,0.025603933179001382
29,4.0,1000.0,0.9,no,100.0,0.03822825981838327
30,5.0,10.0,0.1,no,100.0,0.6204870680519586
31,5.0,10.0,0.25,no,100.0,0.5417737642488879
32,5.0,10.0,0.5,no,100.0,0.30790268926211434
33,5.0,10.0,0.75,no,100.0,0.26974260988025595
34,5.0,10.0,0.9,no,100.0,0.2747300965293383
35,5.0,100.0,0.1,no,100.0,0.5114269224685319
36,5.0,100.0,0.25,no,100.0,0.21650420694825875
37,5.0,100.0,0.5,no,100.0,0.13748493463258793
38,5.0,100.0,0.75,no,100.0,0.09654122038502692
39,5.0,100.0,0.9,no,100.0,0.08128022179844861
40,5.0,1000.0,0.1,no,100.0,0.06448869705675436
41,5.0,1000.0,0.25,no,100.0,0.05949112990879285
42,5.0,1000.0,0.5,no,100.0,0.03092835288476106
43,5.0,1000.0,0.75,no,100.0,0.023376544039037658
44,5.0,1000.0,0.9,no,100.0,0.019522064933056683
45,10.0,10.0,0.1,no,100.0,0.641688594569571
46,10.0,10.0,0.25,no,100.0,0.5361271188202354
47,10.0,10.0,0.5,no,100.0,0.23517947343678786
48,10.0,10.0,0.75,no,100.0,0.29759109748079493
49,10.0,10.0,0.9,no,100.0,0.21023876750849207
50,10.0,100.0,0.1,no,100.0,0.45274904796058474
51,10.0,100.0,0.25,no,100.0,0.21757515663113508
52,10.0,100.0,0.5,no,100.0,0.10303605951036836
53,10.0,100.0,0.75,no,100.0,0.08472851010551191
54,10.0,100.0,0.9,no,100.0,0.06854829632764205
55,10.0,1000.0,0.1,no,100.0,0.10557662684770842
56,10.0,1000.0,0.25,no,100.0,0.040975790377850776
57,10.0,1000.0,0.5,no,100.0,0.03071018147188392
58,10.0,1000.0,0.75,no,100.0,0.02614753302626761
59,10.0,1000.0,0.9,no,100.0,0.021665738446201174
60,30.0,10.0,0.1,no,100.0,0.7617112816790741
61,30.0,10.0,0.25,no,100.0,0.5190303796376285
62,30.0,10.0,0.5,no,100.0,0.45417736719602614
63,30.0,10.0,0.75,no,100.0,0.2572930121343347
64,30.0,10.0,0.9,no,100.0,0.18234736727663656
65,30.0,100.0,0.1,no,100.0,0.30983155684093644
66,30.0,100.0,0.25,no,100.0,0.29117563635802074
67,30.0,100.0,0.5,no,100.0,0.093932178918704
68,30.0,100.0,0.75,no,100.0,0.07794330042291128
69,30.0,100.0,0.9,no,100.0,0.0711235323473923
70,30.0,1000.0,0.1,no,100.0,0.37689893332385577
71,30.0,1000.0,0.25,no,100.0,0.03692556978475363
72,30.0,1000.0,0.5,no,100.0,0.028846813146926685
73,30.0,1000.0,0.75,no,100.0,0.022019335672368318
74,30.0,1000.0,0.9,no,100.0,0.018195854888821562
75,50.0,10.0,0.1,no,100.0,0.7270915077758638
76,50.0,10.0,0.25,no,100.0,0.46559835426992563
77,50.0,10.0,0.5,no,100.0,0.3693764363459236
78,50.0,10.0,0.75,no,100.0,0.27361650359842954
79,50.0,10.0,0.9,no,100.0,0.23344650695949157
80,50.0,100.0,0.1,no,100.0,0.28420162559793966
81,50.0,100.0,0.25,no,100.0,0.14107530922891176
82,50.0,100.0,0.5,no,100.0,0.07885258416557427
83,50.0,100.0,0.75,no,100.0,0.08301988423082397
84,50.0,100.0,0.9,no,100.0,0.06836862331146705
85,50.0,1000.0,0.1,no,100.0,0.06344665531465281
86,50.0,1000.0,0.25,no,100.0,0.04431027133120403
87,50.0,1000.0,0.5,no,100.0,0.02787478139325934
88,50.0,1000.0,0.75,no,100.0,0.022147148120519017
89,50.0,1000.0,0.9,no,100.0,0.0221359383663146
90,100.0,10.0,0.1,no,100.0,0.7421745630003156
91,100.0,10.0,0.25,no,100.0,0.5851115779402563
92,100.0,10.0,0.5,no,100.0,0.354761925394738
93,100.0,10.0,0.75,no,100.0,0.2520671792505112
94,100.0,10.0,0.9,no,100.0,0.2187376684775536
95,100.0,100.0,0.1,no,100.0,0.33847657981658885
96,100.0,100.0,0.25,no,100.0,0.47632105262846625
97,100.0,100.0,0.5,no,100.0,0.09413906923301857
98,100.0,100.0,0.75,no,100.0,0.08040269093697876
99,100.0,100.0,0.9,no,100.0,0.06718443528462159
100,100.0,1000.0,0.1,no,100.0,0.05672257818480843
101,100.0,1000.0,0.25,no,100.0,0.039646431547641595
102,100.0,1000.0,0.5,no,100.0,0.027427378109338648
103,100.0,1000.0,0.75,no,100.0,0.02220210866313052
104,100.0,1000.0,0.9,no,100.0,0.019857826427026107
